Course	Code	CRN	Type	Dates	Days	Start	Finish	Room
 	 	 	 	 	 	 	 	 
MOFI	301	773	L1	Trimester 2	MWF	10:30	11:20	GBLT1
MOFI	301	773	L1-Tut	Trimester 2 starts 2nd week	W	13:40	14:30	RWW222
MOFI	301	773	L1-Tut	Trimester 2 starts 2nd week	F	13:40	14:30	RWW128
MOFI	301	773	L1-Tut	Trimester 2 starts 2nd week	WF	11:30	12:20	GBG04
MOFI	302	774	L1	Trimester 2	WR	8:30	10:20	GBLT4
MOFI	306	3521	L1	Trimester 2	MWR	13:40	14:30	GBG05
MOFI	306	3521	L1-Tut	Trimester 2 starts 2nd week	R	14:40	15:30	RHG02
MOFI	306	3521	L1-Tut	Trimester 2 starts 2nd week	R	11:30	12:20	RWW413
 	 	 	 	 	 	 	 	 
MUSC	125	15602	L1	Trimester 2	M	9:00	10:30	HMLT206
MUSC	125	15602	L1	Trimester 2	R	9:00	10:30	MCLT102
MUSC	125	15602	L1-Tut	Trimester 2	M	11:00	11:50	FT94003
MUSC	125	15602	L1-Tut	Trimester 2	T	11:00	11:50	MUW1D16
MUSC	125	15602	L1-Tut	Trimester 2	W	10:00	13:00	MUW1D16
MUSC	130	15606	L1	Trimester 2	MRF	11:00	11:50	HMLT104
MUSC	130	15606	L1-Tut	Trimester 2	T	11:00	14:50	FT94003
MUSC	150	15610	L1	Trimester 2	F	9:00	10:50	MS301
MUSC	150	15610	L1	Trimester 2	W	10:00	10:50	MS301
MUSC	150	15610	L1-Tut	Trimester 2	R	14:10	16:00	FT94003
MUSC	150	15610	L1-Tut	Trimester 2	R	11:00	13:00	FT94003
MUSC	167	15614	L1	Trimester 2	MWR	13:10	14:00	HULT119
MUSC	210	15582	L1	Trimester 2	T	11:00	12:50	MS301
MUSC	210	15582	L1	Trimester 2	R	11:00	11:50	MS301
MUSC	236	15588	L1	Trimester 2	MF	9:00	10:30	MS209
MUSC	236	15588	L1-Tut	Trimester 2	W	10:00	11:50	FT94003
MUSC	247	15592	L1	Trimester 2	TR	9:00	10:30	MUW10A02
